"Stand.Res.V1","Stand.Res.Lev","Stand.Res.Cooks"
0.76,0.01,0
2.75,0,0.02
1.06,0.01,0.01
-0.07,0,0
1.36,0.01,0.01
0.34,0,0
0.61,0.03,0.01
1.15,0.01,0
-0.58,0,0
0.35,0,0
1.92,0.01,0.02
1.94,0,0.01
-1.65,0.01,0.01
1.27,0,0
-1.17,0,0
0.94,0,0
1.37,0,0
0.3,0,0
2.03,0,0.01
-0.01,0,0
0.09,0,0
0.19,0.01,0
-0.6,0,0
1.36,0,0
-0.66,0.01,0
0.38,0.01,0
0.38,0.01,0
0.76,0.01,0
-0.09,0.02,0
0.11,0.01,0
1.06,0,0
0.86,0.01,0
-0.39,0.01,0
-0.03,0,0
0.72,0,0
-0.08,0.02,0
0.38,0.01,0
0.52,0.01,0
0.16,0,0
1.65,0.01,0.01
2.07,0,0.01
0.59,0.01,0
1.12,0,0
0.22,0.01,0
-0.03,0.01,0
1.31,0,0
0.55,0.01,0
0.61,0,0
-0.01,0.01,0
-0.52,0.01,0
0.05,0.01,0
-0.84,0,0
0.68,0,0
-0.57,0.01,0
1.57,0.01,0.01
1.08,0.01,0
0.3,0.02,0
-1.39,0,0
1.34,0.02,0.02
-1.7,0.01,0.02
-0.29,0,0
0.28,0,0
0.37,0.01,0
1.59,0.01,0.01
-1.1,0.03,0.02
-0.78,0.01,0
-1.46,0,0
1.83,0,0.01
-0.23,0.01,0
-0.05,0.01,0
0.43,0.01,0
-0.67,0.01,0
0.6,0.01,0
1.09,0,0
-0.01,0.02,0
1.86,0.03,0.04
0.78,0.01,0
0.55,0.01,0
-0.22,0,0
-1.51,0.01,0.01
-0.1,0.02,0
2.43,0.01,0.02
-1.08,0,0
0.55,0,0
-1.53,0.01,0.01
0,0.01,0
0.54,0,0
-0.16,0.01,0
0.84,0.01,0
0.56,0,0
-2.26,0,0.01
-0.03,0.01,0
-0.86,0.01,0
1.21,0,0
1.27,0,0
0.24,0.01,0
-1.27,0.01,0.01
-0.23,0.01,0
0.04,0.01,0
-0.79,0.01,0
-1.08,0.01,0
1.74,0.01,0.01
1.41,0,0
-0.8,0.01,0
0.99,0,0
-0.36,0.02,0
0.06,0.01,0
-1.06,0,0
0.22,0.01,0
-1.61,0,0.01
-1.11,0.02,0.01
0.35,0.01,0
1.49,0,0
-0.93,0.01,0
-0.16,0.01,0
-0.52,0,0
-0.33,0.02,0
-0.63,0.01,0
-0.53,0,0
-1.58,0.01,0.01
2.5,0,0.01
2.66,0,0.02
-0.04,0,0
-0.28,0,0
-1.11,0.01,0.01
-1.6,0.01,0.01
-0.45,0.02,0
-0.51,0.01,0
1.92,0.01,0.02
-0.48,0.02,0
0.32,0,0
1.66,0.02,0.02
-0.46,0,0
0.89,0,0
-0.4,0.02,0
0.84,0,0
0.05,0,0
-0.67,0,0
0.16,0,0
-1.44,0,0
0.32,0.01,0
1.58,0,0.01
0.87,0.01,0
-1.09,0.02,0.01
0.45,0.01,0
-1.18,0.01,0
-1.34,0,0
0.41,0.01,0
-0.68,0.01,0
0.29,0,0
-0.56,0.01,0
0.85,0,0
-2.18,0.04,0.11
0.13,0.01,0
-0.42,0.01,0
-0.47,0.01,0
-1.21,0.02,0.01
-1.65,0,0.01
1.23,0.01,0.01
0.38,0,0
-0.8,0.02,0.01
-0.17,0.01,0
0.25,0.01,0
-0.78,0.01,0
-0.64,0.01,0
-1.64,0,0.01
-0.37,0.02,0
0.26,0.01,0
-1.22,0.01,0
1.97,0,0.01
-1.23,0.01,0.01
-1.11,0,0
-2.07,0.02,0.04
0.25,0.01,0
0.81,0.02,0.01
1.46,0,0
-2.27,0,0.01
-1.02,0.01,0
-1.25,0,0
0.36,0.01,0
0.38,0,0
-0.05,0,0
0.03,0,0
0.95,0.02,0.01
-0.69,0.01,0
-1,0,0
1,0,0
-1.27,0,0
-0.7,0.01,0
-0.4,0.01,0
-0.46,0,0
0.44,0.04,0
0.97,0.01,0.01
-0.01,0.01,0
-0.03,0.01,0
0.09,0.01,0
0.12,0.01,0
-0.57,0,0
-0.23,0,0
0.71,0.01,0
-0.45,0,0
-1.1,0,0
-0.54,0,0
-0.81,0.01,0
-1.75,0.01,0.01
0.48,0,0
-0.23,0,0
-1.95,0.01,0.01
-0.03,0.01,0
0.01,0.01,0
0.14,0,0
-0.22,0.01,0
-0.46,0,0
1.15,0,0
0.36,0,0
-0.26,0.01,0
-0.76,0,0
-1.37,0.04,0.03
-1.11,0.01,0
-0.08,0,0
-0.55,0.02,0
0.79,0.01,0
-0.38,0.01,0
-0.24,0.02,0
0.35,0.02,0
-1.34,0.01,0.01
1.07,0,0
-0.2,0.01,0
-0.89,0,0
1.09,0.01,0
0.53,0.01,0
-1.64,0.01,0.02
-1.37,0.01,0.01
-0.08,0.01,0
0.08,0.01,0
-1.11,0,0
0.16,0,0
-0.36,0.01,0
-1.74,0.01,0.01
0.78,0.03,0.01
-0.17,0.01,0
-1.12,0.02,0.01
