"Stand.Res.V1","Stand.Res.Lev","Stand.Res.Cooks"
-0.35,0.01,0
-0.8,0.04,0.01
0.22,0.01,0
-0.96,0,0
-1.03,0.01,0.01
0.34,0,0
0.55,0.01,0
-1.11,0.01,0.01
-0.4,0.01,0
-0.87,0,0
-0.38,0.02,0
2.18,0.02,0.05
1.52,0.02,0.02
1.88,0.01,0.02
0.1,0.01,0
0.58,0.01,0
-0.18,0.01,0
0.28,0,0
-0.25,0.02,0
-0.41,0,0
0.44,0,0
-0.58,0,0
1.6,0.01,0.01
-0.6,0.01,0
0.14,0.01,0
1.44,0,0
1.73,0,0.01
-0.77,0.01,0
0.37,0,0
-0.7,0,0
1.01,0.01,0
3.84,0.01,0.05
-0.32,0,0
1.16,0,0
-0.47,0.01,0
-1.08,0,0
1.62,0,0.01
-0.67,0.01,0
-1.18,0,0
2.22,0.02,0.04
-0.91,0.02,0.01
0.12,0.01,0
0.41,0.01,0
-0.4,0,0
1.04,0,0
-1.03,0.01,0.01
-0.67,0.01,0
0.12,0.01,0
1.82,0,0.01
-0.94,0.01,0
-0.77,0,0
-0.36,0.01,0
0.85,0.01,0
0.27,0.01,0
-0.34,0.01,0
-0.99,0.01,0
1.19,0,0
-0.71,0.01,0
0.07,0.01,0
0.61,0.02,0
2.83,0,0.02
-1.05,0,0
1.44,0,0.01
-0.28,0.01,0
-0.43,0.01,0
-0.59,0.01,0
0.32,0.01,0
-0.87,0.02,0.01
0.66,0,0
-0.96,0,0
-0.68,0,0
0.01,0.01,0
-0.24,0.01,0
-0.02,0.01,0
-0.77,0,0
0.17,0.02,0
2.44,0.01,0.02
0.24,0.01,0
-0.55,0,0
-0.05,0.01,0
-0.05,0,0
-0.52,0.03,0
0.89,0.01,0
-0.97,0.01,0
-0.48,0.01,0
0.44,0,0
-0.43,0.01,0
-0.97,0,0
-0.35,0.01,0
-1.03,0.01,0
2.03,0.03,0.05
-0.72,0,0
0.49,0.01,0
0.36,0.01,0
-0.55,0.01,0
-0.21,0,0
-0.28,0.01,0
1.27,0,0
-0.71,0,0
-0.11,0.01,0
1.44,0.01,0.01
0.21,0.02,0
0.8,0.01,0
-0.42,0.01,0
0.64,0.01,0
3.06,0,0.02
-1.2,0,0
0.35,0.01,0
-0.7,0,0
-0.73,0.01,0
-0.75,0.01,0
-0.45,0,0
-0.11,0.01,0
-0.06,0.01,0
1.51,0,0
0.21,0.01,0
0.34,0,0
-0.04,0.01,0
-0.76,0.01,0
0.43,0.01,0
-0.7,0.03,0.01
-1,0.03,0.02
-0.66,0,0
0.17,0,0
-0.14,0.01,0
-0.66,0.01,0
0.82,0.01,0
-0.58,0.01,0
-0.8,0.02,0.01
0.65,0,0
-0.93,0,0
1.74,0.02,0.02
-0.15,0,0
-0.4,0.01,0
-0.5,0,0
-0.22,0.01,0
-0.83,0,0
-0.83,0.01,0
-0.76,0,0
1.9,0.01,0.02
0.04,0,0
0.81,0.01,0
-1.07,0.01,0
0.41,0.01,0
-1.1,0,0
-1.24,0.01,0.01
0.63,0.01,0
-1.05,0,0
0.02,0.01,0
-0.27,0,0
-0.82,0.01,0
-1.01,0.01,0
1.13,0.02,0.01
-0.83,0,0
0.64,0,0
-0.64,0.01,0
-0.69,0.01,0
-0.97,0.02,0.01
-0.8,0.01,0
-0.56,0,0
1.4,0.01,0.01
0.85,0,0
1.31,0,0
-0.84,0.01,0
0.02,0.01,0
2.01,0.02,0.03
-0.57,0,0
1.3,0,0
0.46,0.01,0
3.16,0.02,0.1
3.19,0.01,0.05
-0.75,0.01,0
-1.2,0.02,0.02
-1.17,0,0
-0.96,0.01,0
0.07,0.01,0
-0.36,0.03,0
1.44,0.01,0.01
1.12,0.01,0.01
-0.8,0,0
-0.93,0,0
-0.84,0,0
-0.47,0,0
-0.95,0.01,0
-0.77,0.01,0
-0.25,0.01,0
-0.57,0.01,0
-0.64,0.01,0
-0.95,0.01,0
-0.08,0,0
-0.51,0,0
1.57,0.01,0.01
1.79,0.01,0.01
-0.48,0,0
2.19,0,0.01
1.23,0,0
0.14,0,0
-0.88,0.01,0
-1.1,0,0
1.04,0.01,0
-0.15,0,0
1.38,0.01,0.01
-0.88,0.01,0
0.01,0.01,0
-0.93,0.02,0.01
-1.16,0.01,0
0.6,0,0
-1.18,0.02,0.01
0.31,0,0
-0.17,0,0
0.45,0,0
0.12,0,0
-1.12,0.01,0
0.47,0.01,0
-0.2,0,0
-1.16,0,0
-0.66,0.01,0
-0.23,0.01,0
-0.93,0.01,0
2.91,0,0.02
-0.52,0.01,0
-1.01,0.01,0
-0.93,0,0
0,0,0
-0.56,0,0
0.51,0.01,0
0.58,0.01,0
1.82,0,0.01
-0.97,0.01,0
0.22,0.01,0
-0.55,0.01,0
0.13,0.01,0
-1.01,0.01,0.01
-0.48,0,0
0.08,0,0
-0.32,0.01,0
-1.06,0,0
0.4,0,0
-0.92,0.02,0.01
-0.54,0.01,0
-1.21,0,0
-1.04,0.01,0
