"Stand.Res.V1","Stand.Res.Lev","Stand.Res.Cooks"
0.7,0,0
2.68,0.01,0.03
1.11,0,0
-0.14,0.01,0
1.25,0.01,0.01
0.37,0,0
0.73,0.01,0
1.03,0.01,0.01
-0.61,0,0
0.28,0.01,0
1.91,0.01,0.01
2.11,0.02,0.05
-1.57,0.02,0.02
1.44,0.02,0.02
-1.14,0,0
1,0.01,0
1.34,0,0
0.32,0,0
2.01,0,0.01
-0.04,0,0
0.12,0,0
0.17,0.01,0
-0.47,0.02,0
1.32,0.01,0.01
-0.63,0,0
0.51,0.01,0
0.48,0.02,0
0.72,0.01,0
0.01,0,0
0.07,0.01,0
1.15,0.01,0.01
1.16,0.06,0.04
-0.38,0,0
0.06,0.01,0
0.69,0.01,0
-0.1,0.01,0
0.56,0.01,0
0.42,0.01,0
0.06,0.01,0
1.86,0.02,0.04
2,0.01,0.02
0.64,0,0
1.14,0,0
0.14,0,0
0.03,0.01,0
1.22,0.01,0.01
0.45,0.01,0
0.63,0,0
0.1,0.02,0
-0.63,0.01,0
0.03,0.01,0
-0.86,0,0
0.73,0.01,0
-0.49,0,0
1.57,0.01,0.01
1.03,0.01,0
0.47,0.01,0
-1.43,0.01,0.01
1.4,0,0
-1.58,0.01,0.01
-0.07,0.04,0
0.18,0.01,0
0.54,0.01,0
1.54,0,0.01
-1.03,0,0
-0.8,0.01,0
-1.43,0,0.01
1.75,0.01,0.01
-0.22,0.01,0
-0.14,0.01,0
0.33,0.01,0
-0.71,0,0
0.54,0,0
1.09,0,0
0,0.01,0
1.93,0,0.01
0.95,0.03,0.01
0.53,0,0
-0.26,0.01,0
-1.48,0,0
-0.04,0,0
2.35,0.01,0.02
-1.01,0.01,0
0.47,0.01,0
-1.58,0,0.01
0.07,0,0
0.51,0.01,0
-0.27,0.01,0
0.76,0,0
0.49,0.01,0
-2.11,0.02,0.05
-0.11,0.01,0
-0.79,0.01,0
1.25,0,0
1.23,0.01,0
0.25,0,0
-1.31,0,0
-0.09,0.01,0
0,0.01,0
-0.81,0,0
-0.93,0.01,0.01
1.72,0,0.01
1.47,0.01,0.01
-0.87,0,0
1.03,0.01,0
-0.18,0.04,0
-0.07,0.01,0
-1.03,0,0
0.13,0.01,0
-1.66,0.01,0.01
-1.23,0.01,0
0.28,0.01,0
1.47,0,0
-0.89,0,0
0,0.01,0
-0.51,0,0
-0.36,0,0
-0.67,0,0
-0.6,0.01,0
-1.58,0.01,0.01
2.42,0.01,0.02
2.57,0.01,0.03
-0.1,0.01,0
-0.26,0,0
-1.15,0,0
-1.63,0.01,0.01
-0.45,0.01,0
-0.57,0.01,0
1.88,0.01,0.01
-0.35,0.01,0
0.24,0.01,0
1.86,0.01,0.03
-0.47,0,0
0.84,0.01,0
-0.37,0.01,0
0.81,0,0
-0.02,0.01,0
-0.73,0.01,0
0.1,0.01,0
-1.27,0.02,0.02
0.3,0,0
1.65,0.01,0.01
0.74,0.01,0
-0.98,0.01,0
0.33,0.01,0
-1.26,0.01,0.01
-1.3,0.01,0.01
0.3,0.01,0
-0.65,0,0
0.26,0,0
-0.66,0.01,0
0.75,0.01,0
-1.93,0.01,0.02
0.03,0.01,0
-0.39,0.01,0
-0.56,0.01,0
-1.2,0.01,0
-1.71,0.01,0.01
1.13,0.01,0
0.34,0.01,0
-0.75,0.01,0
-0.08,0.01,0
0.39,0.01,0
-0.89,0.01,0
-0.65,0,0
-1.49,0.02,0.03
-0.47,0.01,0
0.34,0.01,0
-1.16,0.01,0
2.27,0.04,0.11
-0.96,0.05,0.02
-1.17,0.01,0
-2.22,0.01,0.02
0.19,0.01,0
0.65,0.01,0
1.45,0,0
-2.28,0,0.01
-0.93,0.01,0.01
-1.15,0.01,0.01
0.33,0.01,0
0.29,0.01,0
-0.12,0.01,0
0.01,0.01,0
0.81,0.01,0
-0.78,0.01,0
-1.01,0,0
0.93,0.01,0
-1.32,0.01,0
-0.76,0.01,0
-0.45,0,0
-0.5,0.01,0
0.67,0.01,0
1.16,0.02,0.01
-0.1,0.01,0
0.13,0.02,0
0.18,0.01,0
0.11,0,0
-0.63,0.01,0
-0.34,0.01,0
0.77,0.01,0
-0.47,0,0
-1,0.01,0.01
-0.63,0.01,0
-0.79,0,0
-1.84,0.01,0.01
0.39,0.01,0
-0.18,0.01,0
-2.01,0.01,0.02
0.02,0,0
-0.04,0,0
0.17,0,0
-0.18,0,0
-0.56,0.01,0
1.2,0,0
0.35,0,0
-0.4,0.01,0
-0.8,0.01,0
-1.46,0,0
-1.2,0.01,0.01
0.18,0.04,0
-0.67,0.01,0
0.73,0.01,0
-0.48,0.01,0
-0.18,0,0
0.36,0.01,0
-1.25,0.01,0
1.1,0.01,0
0,0.02,0
-0.98,0.01,0
1.08,0,0
0.46,0.01,0
-1.56,0,0.01
-1.47,0.01,0.01
-0.13,0.01,0
0.05,0,0
-1.12,0,0
0.07,0.01,0
-0.37,0,0
-1.79,0.01,0.01
0.63,0.01,0
-0.21,0.01,0
-1.13,0.01,0.01
