Gender,ClassYear,LarkOwl,NumEarlyClass,EarlyClass,GPA,ClassesMissed,CognitionZscore,PoorSleepQuality,DepressionScore,AnxietyScore,StressScore,DepressionStatus1,DepressionStatus,AnxietyStatus1,AnxietyStatus,Stress1,Stress,DASScore,Happiness,AlcoholUse,AlcoholUse,Drinks,WeekdayBed,WeekdayRise,WeekdaySleep,WeekendBed,WeekendRise,WeekendSleep,AverageSleep,AllNighter
0,2,Neither,0,0,3.72,1,1.45,4,4,1,8,1,normal,1,normal,0,normal,13,29,3,Light,3,25.34,8.16,8.03,27,10.25,7.5,7.88,0
0,3,Neither,2,1,3,0,1.41,9,21,22,26,1,severe,1,severe,1,high,69,25,3,Light,3,25,8.55,7.55,26,10,8,7.68,0
0,1,Lark,5,1,3.76,0,1.39,9,1,4,6,1,normal,1,normal,0,normal,11,32,3,Light,2,23.5,7.17,6.77,27,8,7.25,6.9,0
0,4,Neither,2,1,3.24,0,1.39,6,1,0,3,1,normal,1,normal,0,normal,4,25,4,Moderate,6,25.7,8.2,6.8,26,10,7.25,6.93,0
0,2,Neither,2,1,3.75,0,1.37,12,15,15,23,3,moderate,1,severe,1,high,53,25,4,Moderate,8,24.05,8.35,8.55,25.38,9.75,7.75,8.32,0
1,1,Neither,1,1,3.4,1,1.37,10,4,8,8,1,normal,3,moderate,0,normal,20,28,4,Abstain,0,27,8.23,4.79,26.5,10.25,8.25,5.78,1
0,3,Neither,2,1,3.5,1,1.3,2,1,1,1,1,normal,1,normal,0,normal,3,35,4,Moderate,5,24.45,8.25,7.8,25,9.75,8.75,8.07,0
0,4,Neither,2,1,3.3,1,1.22,6,4,4,13,1,normal,1,normal,0,normal,21,30,3,Light,4,24.2,8.52,8.62,25,10.75,9,8.73,0
0,4,Owl,0,0,3.2,4,1.22,9,7,25,14,1,normal,1,severe,0,normal,46,15,4,Moderate,4,25.9,8.67,6.09,23.75,9.5,7,6.35,0
0,2,Lark,3,1,3.6,1,1.19,4,20,9,25,3,moderate,3,moderate,1,high,54,28,3,Light,2,23.3,6.65,7.65,24,7.5,6.75,7.39,0
0,1,Neither,3,1,3.5,0,1.14,8,1,4,7,1,normal,1,normal,0,normal,12,29,4,Moderate,4,24.6,7.57,7.17,25.75,9,6.75,7.05,0
0,1,Lark,5,1,3.2,2,1.13,9,11,13,7,3,moderate,3,moderate,0,normal,31,13,4,Abstain,0,24.3,6.9,7.2,24.5,11,9,7.71,0
0,1,Owl,0,0,3.5,4,1.12,3,2,3,8,1,normal,1,normal,0,normal,13,21,4,Moderate,10,25.75,9.88,7.93,25.75,11.13,9.88,8.49,0
0,3,Neither,2,1,3.3,0,1.06,4,6,2,8,1,normal,1,normal,0,normal,16,20,4,Abstain,0,23.65,7.82,7.97,24.75,8.25,8,7.98,0
0,1,Neither,2,1,4,0,1.03,5,12,16,20,3,moderate,1,severe,1,high,48,29,3,Light,3,24.4,8.75,8.25,24,9,9.25,8.54,0
0,2,Neither,0,0,3,5,1.03,4,3,6,10,1,normal,1,normal,0,normal,19,29,4,Moderate,7,25.25,9.48,8.48,25.38,9.5,7.5,8.2,0
0,3,Lark,2,1,3.5,0,1,2,0,6,13,1,normal,1,normal,0,normal,19,29,4,Moderate,6,24.63,7,6,27,8.5,6,6,1
0,3,Owl,2,1,3.3,2,1,10,11,3,17,3,moderate,1,normal,1,high,31,24,3,Light,1,24.4,7.5,7.1,23.5,10.5,11,8.21,0
0,3,Neither,5,1,3.7,1,0.98,10,1,3,4,1,normal,1,normal,0,normal,8,29,4,Abstain,0,23.75,7.08,7.43,24.5,8.75,8,7.6,0
1,1,Neither,0,0,3.75,2,0.97,6,4,4,7,1,normal,1,normal,0,normal,15,25,4,Abstain,0,24.2,8.92,8.12,26.25,9.25,8.5,8.23,1
1,1,Neither,2,1,3.83,0,0.95,3,0,0,1,1,normal,1,normal,0,normal,1,33,4,Abstain,0,25.2,9.7,9.2,25.75,10.34,6.84,8.52,0
0,2,Lark,2,1,3.55,1,0.93,3,0,1,0,1,normal,1,normal,0,normal,1,23,3,Light,3,23.73,7.88,8.05,23.75,7.13,7.63,7.93,0
1,1,Neither,4,1,4,0,0.92,4,1,3,2,1,normal,1,normal,0,normal,6,32,4,Moderate,6,23.8,8.45,8.8,24.13,10.54,10.04,9.15,0
1,1,Lark,3,1,3.75,2,0.91,9,35,0,14,1,severe,1,normal,0,normal,49,5,3,Light,2,25.2,8.1,7.3,26,11.5,8.5,7.64,0
0,3,Lark,2,1,3.34,0,0.91,2,0,3,6,1,normal,1,normal,0,normal,9,30,4,Abstain,0,24,7.45,7.55,24,8,7.75,7.61,0
1,3,Neither,0,0,3.35,7,0.87,11,5,4,15,1,normal,1,normal,1,high,24,16,3,Light,3,26.75,9.42,6.77,24.5,10.5,9.5,7.55,1
